id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
539138,F,31,02-10-20,9:31:00 AM
538866,F,35,19-09-20,3:56:00 PM
538787,F,38,27-02-20,11:23:00 AM
538693,OTRO,23,10-09-20,2:47:00 PM
538640,OTRO,31,30-09-20,2:31:00 PM
538328,M,31,17-09-20,1:19:00 PM
538276,F,24,16-09-20,5:35:00 PM
537602,F,25,29-09-20,4:48:00 PM
537424,F,39,22-09-20,2:29:00 PM
537296,M,25,20-09-20,1:37:00 PM
536592,F,43,26-09-20,4:35:00 PM
536559,F,52,29-09-19,1:45:00 PM
536510,F,32,22-09-20,3:33:00 PM
536427,OTRO,31,27-09-20,4:32:00 PM
536359,OTRO,26,24-09-20,2:24:00 AM
536214,M,62,19-09-20,1:41:00 PM
535881,OTRO,21,27-02-20,11:23:00 AM
535849,OTRO,36,01-10-20,3:52:00 PM
535623,F,23,29-09-19,7:09:00 AM
535421,F,50,27-02-20,11:23:00 AM
535396,F,22,29-09-20,6:20:00 PM
535376,F,50,28-09-20,5:13:00 PM
535328,F,55,08-10-20,12:42:00 PM
535301,F,58,12-09-20,8:17:00 PM
535067,OTRO,39,25-09-20,8:20:00 PM
534927,F,57,14-09-20,6:19:00 PM
534804,M,32,16-09-20,5:00:00 PM
534668,F,19,04-10-20,6:26:00 AM
534636,F,27,22-09-20,9:39:00 AM
534222,F,33,04-10-20,5:36:00 AM
534075,F,24,27-09-20,6:39:00 PM
534064,F,39,03-10-20,4:35:00 PM
534057,OTRO,28,03-10-20,4:31:00 PM
533877,F,27,27-02-20,11:23:00 AM
533771,OTRO,29,19-09-20,2:57:00 PM
533630,F,25,03-03-20,2:48:00 PM
533495,F,59,03-10-20,1:32:00 PM
533452,OTRO,30,02-10-20,6:41:00 PM
533425,F,27,03-10-20,1:02:00 AM
532924,F,21,24-09-20,5:52:00 PM
532767,F,24,28-09-20,3:35:00 PM
532683,OTRO,39,20-09-20,3:07:00 PM
532572,F,43,27-02-20,11:23:00 AM
532566,F,26,27-02-20,11:23:00 AM
532558,F,20,07-10-20,4:28:00 PM
532306,M,21,27-02-20,11:23:00 AM
531966,M,23,27-02-20,11:23:00 AM
531943,OTRO,41,27-02-20,11:23:00 AM
531930,F,24,27-02-20,11:23:00 AM
531736,M,40,22-09-20,4:54:00 PM
531599,F,22,06-10-20,3:32:00 PM
531596,OTRO,27,17-09-20,6:32:00 PM
530895,OTRO,19,08-10-20,12:09:00 PM
530782,F,38,07-10-20,4:09:00 PM
530772,M,34,26-09-19,3:12:00 PM
530705,F,35,04-10-20,11:39:00 AM
530498,F,23,23-09-20,7:12:00 PM
530432,F,37,26-09-20,4:22:00 PM
530249,M,28,26-09-19,10:40:00 AM
529944,OTRO,24,18-09-20,4:20:00 PM
529783,F,20,23-09-20,11:37:00 AM
529629,OTRO,20,24-09-20,5:30:00 PM
529507,M,26,15-09-20,12:20:00 PM
529506,F,23,20-09-20,1:38:00 PM
529320,F,39,26-09-20,11:54:00 AM
529228,OTRO,21,14-09-20,4:31:00 PM
529098,F,22,28-09-20,1:08:00 PM
529042,OTRO,23,25-09-19,3:59:00 PM
528452,OTRO,21,16-09-20,5:45:00 PM
528395,OTRO,23,28-09-20,10:45:00 AM
528383,M,39,25-09-19,10:35:00 AM
528285,F,28,20-09-20,8:09:00 PM
528274,M,35,25-09-19,9:30:00 AM
527961,M,26,24-09-19,10:15:00 PM
527726,OTRO,22,15-09-20,5:35:00 PM
527710,M,32,24-09-19,7:22:00 PM
527469,F,27,06-10-20,7:11:00 PM
527232,M,22,27-02-20,11:23:00 AM
527200,F,23,27-02-20,11:23:00 AM
526645,M,20,20-09-20,11:48:00 PM
526583,F,30,19-09-20,9:14:00 AM
526412,OTRO,20,18-09-20,12:15:00 PM
526230,F,41,02-10-20,7:10:00 PM
526096,F,18,14-09-20,7:48:00 PM
526048,F,22,23-09-20,9:28:00 PM
526034,OTRO,30,20-09-20,2:02:00 PM
526001,OTRO,24,07-10-20,10:27:00 AM
525952,M,26,23-09-19,8:15:00 PM
525928,OTRO,23,27-02-20,11:23:00 AM
525619,M,26,21-09-20,4:53:00 PM
525598,OTRO,20,16-09-20,8:47:00 AM
525584,F,40,23-09-19,5:04:00 PM
525466,OTRO,43,27-09-20,2:42:00 PM
525425,OTRO,37,06-10-20,1:32:00 PM
525368,F,33,17-09-20,5:00:00 PM
525164,F,50,20-09-20,3:12:00 PM
525145,F,21,28-09-20,5:02:00 PM
525096,OTRO,38,27-02-20,11:23:00 AM
525035,OTRO,33,23-09-20,5:14:00 PM
524971,M,40,23-09-19,11:53:00 AM
524848,OTRO,24,20-09-20,2:02:00 PM
524809,M,28,09-03-20,6:41:00 PM
524774,F,30,01-10-20,10:18:00 AM
524693,OTRO,39,22-09-20,7:50:00 PM
524667,M,24,23-09-19,7:05:00 AM
524328,F,21,18-09-20,5:19:00 PM
524273,F,31,28-09-20,2:24:00 PM
524271,OTRO,31,20-09-20,8:20:00 PM
524103,M,27,27-02-20,11:23:00 AM
524013,F,24,27-02-20,11:23:00 AM
523981,OTRO,28,20-09-20,1:49:00 PM
523916,OTRO,33,20-09-20,1:57:00 PM
523635,M,36,22-09-19,3:31:00 PM
523539,OTRO,34,18-09-20,11:03:00 AM
523347,M,21,22-09-19,2:27:00 PM
523321,OTRO,25,30-09-20,6:05:00 PM
523199,M,19,16-09-20,1:08:00 PM
522842,F,41,23-09-20,4:20:00 PM
522473,F,35,12-09-20,11:48:00 AM
522427,OTRO,40,07-10-20,5:28:00 PM
522356,F,43,27-09-20,4:05:00 PM
522259,M,34,22-09-19,9:04:00 AM
522007,F,28,25-09-20,5:55:00 PM
521742,F,25,27-02-20,11:23:00 AM
521594,F,32,05-10-20,11:24:00 AM
521489,OTRO,20,27-02-20,11:23:00 AM
521425,M,20,27-02-20,11:23:00 AM
521423,F,32,26-09-20,7:56:00 PM
521312,M,28,27-02-20,11:23:00 AM
521091,F,19,19-09-20,7:03:00 PM
520934,F,60,27-02-20,11:23:00 AM
520871,OTRO,67,27-09-20,12:24:00 PM
520640,OTRO,61,01-10-20,4:57:00 PM
520420,OTRO,31,03-10-20,4:42:00 PM
520297,OTRO,22,21-09-19,11:28:00 AM
520252,OTRO,23,02-10-20,8:14:00 PM
519594,F,40,18-09-20,7:11:00 PM
519425,F,29,07-10-20,4:44:00 PM
519409,M,46,27-02-20,11:23:00 AM
519003,OTRO,22,30-09-20,1:02:00 PM
518780,F,21,23-09-20,8:19:00 AM
518580,OTRO,33,29-09-20,4:51:00 PM
518420,F,44,20-09-20,11:45:00 AM
518413,M,40,18-09-20,1:44:00 PM
518268,F,24,08-10-20,4:00:00 AM
517934,F,34,01-10-20,9:44:00 AM
517897,F,18,20-09-20,8:08:00 PM
517882,F,33,10-09-20,9:01:00 PM
517798,F,47,29-09-20,6:52:00 PM
517670,F,28,27-09-20,11:29:00 PM
517483,F,29,19-09-20,9:52:00 AM
517412,M,21,19-09-19,2:03:00 PM
517411,OTRO,32,29-09-20,7:47:00 PM
517334,M,19,21-09-20,6:01:00 PM
517216,M,30,25-08-20,7:11:00 PM
517148,F,19,17-09-20,1:53:00 AM
516930,OTRO,41,30-09-20,6:01:00 PM
516888,OTRO,19,09-09-20,6:28:00 PM
516744,OTRO,46,17-09-20,2:29:00 PM
516642,F,60,01-10-20,10:09:00 PM
516614,OTRO,31,29-09-20,11:40:00 PM
516303,M,33,27-02-20,11:23:00 AM
516282,M,28,18-09-19,4:28:00 PM
516267,OTRO,32,28-09-20,10:39:00 AM
516247,M,23,01-09-20,11:18:00 PM
515826,F,18,07-10-20,3:26:00 PM
515234,OTRO,27,19-09-20,6:56:00 PM
515144,OTRO,35,20-09-20,12:29:00 PM
515139,F,35,29-09-20,12:03:00 AM
515077,F,28,20-09-20,7:17:00 AM
514881,F,21,06-10-20,1:04:00 PM
514805,F,23,27-02-20,11:23:00 AM
514774,M,58,17-09-19,8:11:00 PM
514707,OTRO,28,18-09-20,6:51:00 PM
514572,M,24,18-09-20,10:57:00 AM
514215,M,28,27-02-20,11:23:00 AM
514095,F,58,24-09-20,10:23:00 AM
